date,county,state,fips,cases,deaths,county_name,last_date,county_population,new_cases,new_deaths
2020-03-12,adams,colorado,08001,2,0,Adams,FALSE,511473,2,0
2020-03-13,adams,colorado,08001,3,0,Adams,FALSE,511473,1,0
2020-03-14,adams,colorado,08001,6,0,Adams,FALSE,511473,3,0
2020-03-15,adams,colorado,08001,6,0,Adams,FALSE,511473,0,0
2020-03-16,adams,colorado,08001,8,0,Adams,FALSE,511473,2,0
2020-03-17,adams,colorado,08001,10,0,Adams,FALSE,511473,2,0
2020-03-18,adams,colorado,08001,10,0,Adams,FALSE,511473,0,0
2020-03-19,adams,colorado,08001,10,0,Adams,FALSE,511473,0,0
2020-03-20,adams,colorado,08001,12,0,Adams,FALSE,511473,2,0
2020-03-21,adams,colorado,08001,14,0,Adams,FALSE,511473,2,0
2020-03-22,adams,colorado,08001,18,0,Adams,FALSE,511473,4,0
2020-03-23,adams,colorado,08001,25,0,Adams,FALSE,511473,7,0
2020-03-24,adams,colorado,08001,27,0,Adams,FALSE,511473,2,0
2020-03-25,adams,colorado,08001,38,0,Adams,FALSE,511473,11,0
2020-03-26,adams,colorado,08001,50,0,Adams,FALSE,511473,12,0
2020-03-27,adams,colorado,08001,71,0,Adams,FALSE,511473,21,0
2020-03-28,adams,colorado,08001,95,0,Adams,FALSE,511473,24,0
2020-03-29,adams,colorado,08001,110,0,Adams,FALSE,511473,15,0
2020-03-30,adams,colorado,08001,153,0,Adams,FALSE,511473,43,0
2020-03-31,adams,colorado,08001,185,2,Adams,FALSE,511473,32,2
2020-04-01,adams,colorado,08001,214,6,Adams,FALSE,511473,29,4
2020-04-02,adams,colorado,08001,260,7,Adams,FALSE,511473,46,1
2020-04-03,adams,colorado,08001,294,9,Adams,FALSE,511473,34,2
2020-04-04,adams,colorado,08001,320,9,Adams,FALSE,511473,26,0
2020-04-05,adams,colorado,08001,354,10,Adams,FALSE,511473,34,1
2020-04-06,adams,colorado,08001,367,12,Adams,FALSE,511473,13,2
2020-04-07,adams,colorado,08001,388,14,Adams,FALSE,511473,21,2
2020-04-08,adams,colorado,08001,417,14,Adams,FALSE,511473,29,0
2020-04-09,adams,colorado,08001,475,16,Adams,FALSE,511473,58,2
2020-04-10,adams,colorado,08001,543,23,Adams,FALSE,511473,68,7
2020-04-11,adams,colorado,08001,593,25,Adams,FALSE,511473,50,2
2020-04-12,adams,colorado,08001,647,26,Adams,FALSE,511473,54,1
2020-04-13,adams,colorado,08001,693,26,Adams,FALSE,511473,46,0
2020-04-14,adams,colorado,08001,726,27,Adams,FALSE,511473,33,1
2020-04-15,adams,colorado,08001,758,28,Adams,FALSE,511473,32,1
2020-04-16,adams,colorado,08001,805,29,Adams,FALSE,511473,47,1
2020-04-17,adams,colorado,08001,860,31,Adams,FALSE,511473,55,2
2020-04-18,adams,colorado,08001,894,33,Adams,FALSE,511473,34,2
2020-04-19,adams,colorado,08001,915,35,Adams,FALSE,511473,21,2
2020-04-20,adams,colorado,08001,968,37,Adams,FALSE,511473,53,2
2020-04-21,adams,colorado,08001,996,46,Adams,FALSE,511473,28,9
2020-04-22,adams,colorado,08001,1033,46,Adams,FALSE,511473,37,0
2020-04-23,adams,colorado,08001,1082,46,Adams,FALSE,511473,49,0
2020-04-24,adams,colorado,08001,1252,57,Adams,FALSE,511473,170,11
2020-04-25,adams,colorado,08001,1302,57,Adams,FALSE,511473,50,0
2020-04-26,adams,colorado,08001,1348,58,Adams,FALSE,511473,46,1
2020-04-27,adams,colorado,08001,1391,60,Adams,FALSE,511473,43,2
2020-04-28,adams,colorado,08001,1430,61,Adams,FALSE,511473,39,1
